Station_Name,Street_Address,City,Access_Days_Time,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Other_Info,New_Georeferenced_Column,Category,Latitude,Longitude,Total_EVSE_Num,distance_to_A,distance_to_B,geometry,Station_Category,Address_Number,Charger_Category
JOHN ST CHARGER,234 John St,Bridgeport,24 hours daily,0,2,0,NONE,POINT (-73.1911131 41.1772308),Daily,41.1772308,-73.1911131,2,40.499465305666575,32.69496747621989,POINT (-73.1911131 41.1772308),Level 2 only,281,1-3
Peck Lane Plaza Shopping Center,550 Boston Post Rd,Orange,24 hours daily,0,0,1,NONE,POINT (-73.017784 41.251801),Daily,41.251801,-73.017784,1,45.84043333964753,39.826395748505604,POINT (-73.017784 41.251801),DC Fast only,282,1-3
PRESTIGE VW,42-46 W Broad St,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.5464906 41.0553525),Daily,41.0553525,-73.5464906,2,45.943258758756606,38.48952110635371,POINT (-73.5464906 41.0553525),Level 2 only,283,1-3
Fairfield Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.264636 41.14221200000001),Daily,41.14221200000001,-73.264636,2,40.492599512382405,32.23092091715948,POINT (-73.264636 41.14221200000001),Level 2 only,260,1-3
Norwalk Community College,188 Richards Ave,Norwalk,"7am-10pm m-f, 8am-5pm sat",0,2,0,NONE,POINT (-73.452539 41.102848),Other,41.102848,-73.452539,2,40.48042141943682,32.42593848512014,POINT (-73.452539 41.102848),Level 2 only,284,1-3
LAZ Fly Airport Parking,24 Ella Grasso Turnpike,Windsor Locks,24 hours daily,0,2,0,NONE,POINT (-72.672748 41.918347),Daily,41.918347,-72.672748,2,84.25318654949862,87.26786436835366,POINT (-72.672748 41.918347),Level 2 only,285,1-3
CT RAIL,60 State St,Meriden,24 hours daily,0,2,0,NONE,POINT (-72.8007814 41.5394301),Daily,41.5394301,-72.8007814,2,57.75462869116562,56.884085966720306,POINT (-72.8007814 41.5394301),Level 2 only,286,1-3
Killingly Town Hall,172 Main St,Killingly,24 hours daily,0,1,0,NONE,POINT (-71.88232300000001 41.80577),Daily,41.80577,-71.88232300000001,1,138.80391012111085,138.74681672330925,POINT (-71.88232300000001 41.80577),Level 2 only,287,1-3
Central Connecticut State University - Welte Hall Parking Lot,105 Ella Grasso Blvd,New Britain,24 hours daily,0,3,0,NONE,POINT (-72.768107 41.693501),Daily,41.693501,-72.768107,3,64.9354222679441,66.15024757268499,POINT (-72.768107 41.693501),Level 2 only,288,1-3
The Inn at Woodstock Hill,94 Plaine Hill Rd,Woodstock,24 hours daily,1,1,0,NONE,POINT (-71.97262186000002 41.94378281),Daily,41.94378281,-71.97262186000002,2,136.63538688726968,137.6095277346704,POINT (-71.97262186000002 41.94378281),Level 1 and 2,289,1-3
Wilton Public Library,137 Old Ridgefield Rd,Wilton,"10am-8pm m-th, 10am-6pm f, 10am-5pm sat, 1pm-5pm sun (sunday hours in winter only)",0,1,0,NONE,POINT (-73.43124 41.192802),Other,41.192802,-73.43124,1,30.734865860259333,22.516630175403318,POINT (-73.43124 41.192802),Level 2 only,290,1-3
HAJJAR,213 Court St,Middletown,24 hours daily,0,2,0,NONE,POINT (-72.65018090000001 41.5590961),Daily,41.5590961,-72.65018090000001,2,70.5012400352344,69.57514378396225,POINT (-72.65018090000001 41.5590961),Level 2 only,291,1-3
Goodwin University,403 Main St,East Hartford,24 hours daily,0,2,0,NONE,POINT (-72.639362 41.749499),Daily,41.749499,-72.639362,2,77.2322346102013,78.53765228309541,POINT (-72.639362 41.749499),Level 2 only,292,1-3
Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,24 hours daily,0,1,0,NONE,POINT (-72.812491 41.274658),Daily,41.274658,-72.812491,1,60.21489135288743,55.333580254867464,POINT (-72.812491 41.274658),Level 2 only,293,1-3
Big Y,1021 Main St,Cheshire,24 hours daily,0,2,0,NONE,POINT (-72.907523 41.476271),Daily,41.476271,-72.907523,2,48.30719467254349,46.56205486046122,POINT (-72.907523 41.476271),Level 2 only,294,1-3
Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,6am-12am daily,0,2,0,NONE,POINT (-73.033472 41.23636),Daily,41.23636,-73.033472,2,45.665417403388844,39.365421373360896,POINT (-73.033472 41.23636),Level 2 only,158,1-3
City of Middletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,24 hours daily,0,12,0,NONE,POINT (-72.648056 41.561647),Daily,41.561647,-72.648056,12,70.71715985706855,69.819804361544,POINT (-72.648056 41.561647),Level 2 only,295,10+
Ford of Branford,301 E Main St,Branford,dealership business hours; ford use only,0,2,0,NONE,POINT (-72.789844 41.292505000000006),Business Hours,41.292505000000006,-72.789844,2,61.33018018254949,56.73786392866729,POINT (-72.789844 41.292505000000006),Level 2 only,296,1-3
Morton Government Center,239 John St,Bridgeport,24 hours daily,0,1,0,NONE,POINT (-73.191423 41.177007),Daily,41.177007,-73.191423,1,40.50342145876637,32.69589594910345,POINT (-73.191423 41.177007),Level 2 only,297,1-3
Town of Groton - Public Library,52 Newtown Rd,Groton,24 hours daily,0,2,0,NONE,POINT (-72.028928 41.347552),Daily,41.347552,-72.028928,2,122.51951986730283,119.33861622646661,POINT (-72.028928 41.347552),Level 2 only,298,1-3
Burlington Library,34 Library Ln,Burlington,24 hours daily,0,2,0,NONE,POINT (-72.967327 41.771305),Daily,41.771305,-72.967327,2,54.88624717406107,58.27118218910024,POINT (-72.967327 41.771305),Level 2 only,299,1-3
Bruce Bennett Nissan,978 Danbury Rd,Wilton,dealership business hours,0,1,1,NONE,POINT (-73.435546 41.258992),Business Hours,41.258992,-73.435546,2,23.422835882500436,15.163757911280602,POINT (-73.435546 41.258992),Level 2 and DC Fast,300,1-3
Park 'N Fly - Bradley International Airport,1186 South St,Suffield,24 hours daily; pay lot; see attendant for access,0,2,0,NONE,POINT (-72.663078 41.951328),Daily,41.951328,-72.663078,2,87.10288957141671,90.323648167294,POINT (-72.663078 41.951328),Level 2 only,301,1-3
Van Wilgen's Garden Center,51 Valley Rd,North Branford,9am-5pm m-f,0,1,0,NONE,POINT (-72.766102 41.306955),Other,41.306955,-72.766102,1,62.739882264023535,58.390301816263886,POINT (-72.766102 41.306955),Level 2 only,302,1-3
REYNOLDS SUBARU,272 Hamburg Rd,Lyme,24 hours daily,0,2,0,NONE,POINT (-72.3518219 41.3890729),Daily,41.3890729,-72.3518219,2,95.16626031994363,92.18296972331753,POINT (-72.3518219 41.3890729),Level 2 only,303,1-3
Tingue Dam Bypass Channel - Wakeley Street Parking Lot,37 Wakeley St,Seymour,24 hours daily,0,2,0,NONE,POINT (-73.075525 41.394315000000006),Daily,41.394315000000006,-73.075525,2,35.20736796008666,31.65336531936317,POINT (-73.075525 41.394315000000006),Level 2 only,304,1-3
Mohegan Sun,1 Mohegan Sun Blvd,Uncasville,24 hours daily,0,4,0,NONE,POINT (-72.091456 41.491597),Daily,41.491597,-72.091456,4,116.48193328894511,114.37244173975904,POINT (-72.091456 41.491597),Level 2 only,126,4-6
COMCAST,90 Phoenix Ave,Enfield,24 hours daily,0,4,0,NONE,POINT (-72.581611 41.977252),Daily,41.977252,-72.581611,4,94.21978117471346,97.26308101517908,POINT (-72.581611 41.977252),Level 2 only,305,4-6
Greenlots - 92143,665 Commerce Dr,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.23358 41.163146),Daily,41.163146,-73.23358,2,39.75570375715037,31.67085383402025,POINT (-73.23358 41.163146),Level 2 only,306,1-3
777 Main Street - Tesla Supercharger,777 Main Street,Hartford,24 hours daily; for tesla use only,0,0,6,NONE,POINT (-72.674129 41.766493),Tesla,41.766493,-72.674129,6,75.40122037166081,77.03052576271577,POINT (-72.674129 41.766493),DC Fast only,307,4-6
BMW RIDGEFIELD,746 Danbury Rd,Ridgefield,24 hours daily,0,0,1,NONE,POINT (-73.4722156 41.3305782),Daily,41.3305782,-73.4722156,1,15.135762395320054,7.295212874240985,POINT (-73.4722156 41.3305782),DC Fast only,116,1-3
"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,Norwalk,24 hours daily; see front desk for access,0,1,0,NONE,POINT (-73.453043 41.092037),Daily,41.092037,-73.453043,1,41.675523820136775,33.62642581078877,POINT (-73.453043 41.092037),Level 2 only,308,1-3
BIG Y FOODS,140 suit A West Rd,Ellington,24 hours daily,0,2,0,NONE,POINT (-72.46388 41.888958),Daily,41.888958,-72.46388,2,97.16289786145546,99.07927883673048,POINT (-72.46388 41.888958),Level 2 only,309,1-3
Wrap N Shine Auto Spa - Tesla Destination,97 Bridgeport Ave #10,Shelton,24 hours daily; for customer use only,0,1,0,NONE,POINT (-73.097982 41.310498),Daily,41.310498,-73.097982,1,36.76416781441877,31.23132577990622,POINT (-73.097982 41.310498),Level 2 only,310,1-3
Western Connecticut State University,190 White St,Danbury,24 hours daily,0,3,0,NONE,POINT (-73.442053 41.39936),Daily,41.39936,-73.442053,3,8.29884046892461,1.1201083398764144,POINT (-73.442053 41.39936),Level 2 only,311,1-3
MINI OF FFD CTY,154 US-1 154 post rd,Darien,24 hours daily,0,2,0,NONE,POINT (-73.4569573 41.089032),Daily,41.089032,-73.4569573,2,41.98846702757985,33.960948156762306,POINT (-73.4569573 41.089032),Level 2 only,312,1-3
Delamar West Hartford - Tesla Destination,1 Memorial Rd,West Hartford,24 hours daily; for customer use only,0,3,0,NONE,POINT (-72.737672 41.760566),Daily,41.760566,-72.737672,3,70.38377854554669,72.24231856960404,POINT (-72.737672 41.760566),Level 2 only,313,1-3
Connecticut Department of Motor Vehicles,60 State St,Wethersfield,8am-5pm m-f,0,1,0,NONE,POINT (-72.655754 41.71866250000001),Other,41.71866250000001,-72.655754,1,74.64985532341508,75.6853064928859,POINT (-72.655754 41.71866250000001),Level 2 only,286,1-3
Mill Plain Diner - Tesla Destination,14 Mill Plain Rd,Danbury,24 hours daily; for customer use only,0,1,0,NONE,POINT (-73.494706 41.38756),Daily,41.38756,-73.494706,1,8.79780095010529,3.49767676452439,POINT (-73.494706 41.38756),Level 2 only,314,1-3
Sherman Green,1451 Post Rd,Fairfield,24 hours daily,0,1,0,NONE,POINT (-73.256774 41.140584),Daily,41.140584,-73.256774,1,40.95760055708904,32.71631574818028,POINT (-73.256774 41.140584),Level 2 only,315,1-3
Stamford Government Center Garage,888 Washington Blvd,Stamford,24 hours daily,0,3,0,NONE,POINT (-73.542499 41.051637),Daily,41.051637,-73.542499,3,46.317791121257024,38.82847302969548,POINT (-73.542499 41.051637),Level 2 only,316,1-3
Z Airport Parking,3 International Dr,East Granby,24 hours daily,0,1,0,NONE,POINT (-72.709138 41.928233),Daily,41.928233,-72.709138,1,82.51385215529035,85.78283244952193,POINT (-72.709138 41.928233),Level 2 only,317,1-3
Hyatt Regency Greenwich - Tesla Destination,1800 E Putnam Ave,Greenwich,24 hours daily; for customer use only,0,2,0,NONE,POINT (-73.566753 41.046329),Daily,41.046329,-73.566753,2,47.15395254911058,39.840351872243474,POINT (-73.566753 41.046329),Level 2 only,318,1-3
Surface Parking Lot,121 Main St,New Britain,24 hours daily,0,2,0,NONE,POINT (-72.781161 41.666233),Daily,41.666233,-72.781161,2,62.812522832473675,63.733307072321495,POINT (-72.781161 41.666233),Level 2 only,319,1-3
Deep River Library,150 Main St,Deep River,24 hours daily; see code on the face of charger or ask librarian to initiate charge,1,1,0,NONE,POINT (-72.43670100000001 41.386805),Daily,41.386805,-72.43670100000001,2,88.12924983467693,85.08817896539995,POINT (-72.43670100000001 41.386805),Level 1 and 2,320,1-3
State House Square,10-90 State House Square,Hartford,24 hours daily,0,1,0,NONE,POINT (-72.671417 41.766822),Daily,41.766822,-72.671417,1,75.62000680704243,77.2409612846961,POINT (-72.671417 41.766822),Level 2 only,321,1-3
City of Milford - Train Station Parking,1 Railroad Ave,Milford,24 hours daily,0,2,0,NONE,POINT (-73.060012 41.222682),Daily,41.222682,-73.060012,2,44.74794980275987,38.1322884523995,POINT (-73.060012 41.222682),Level 2 only,322,1-3
Hammonasset Beach State Park - Meig's Point Nature Center,1288 Boston Post Rd,Madison,24 hours daily,0,4,0,NONE,POINT (-72.546017 41.251952),Daily,41.251952,-72.546017,4,82.1579746608995,77.65740964964459,POINT (-72.546017 41.251952),Level 2 only,23,4-6
Grossman Nissan,295 Middlesex Turnpike,Old Saybrook,dealership business hours,0,1,1,NONE,POINT (-72.383105 41.309276),Business Hours,41.309276,-72.383105,2,93.85684206067245,90.1213101849553,POINT (-72.383105 41.309276),Level 2 and DC Fast,323,1-3
"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybrook,24 hours daily; for customer use only,0,4,0,NONE,POINT (-72.351072 41.28331),Daily,41.28331,-72.351072,4,97.07222763877324,93.1450691766293,POINT (-72.351072 41.28331),Level 2 only,144,4-6
Fairfield Train Station Overflow Lot,140 Mill Plain Rd,Fairfield,24 hours daily; pay lot,0,1,0,NONE,POINT (-73.264399 41.142923),Daily,41.142923,-73.264399,1,40.43143599914274,32.171975958648375,POINT (-73.264399 41.142923),Level 2 only,324,1-3
